firmage,q_Mean_1,q_Mean_3
0,1.8541021124,4.692016746
1,1.6869900821,3.1434638086
2,1.6949957806,2.5335323279
3,1.8084729306,2.7404776056
4,1.6682227252,2.5856281169
5,1.5795072265,2.2353316441
6,1.5798506297,2.3744552469
7,1.7815196107,2.2236744264
8,1.7256403802,2.2018748207
9,1.7793167927,2.0646562361
10,1.8084617939,2.1809836799
11,1.7639996133,2.029370181
12,1.769261144,2.070298554
13,1.7881343943,2.1295333796
14,1.6691861881,2.1512234861
15,1.6776422612,2.0768112257
16,1.8575877615,1.966954585
17,1.8206063475,1.8622132741
18,1.7562965206,1.9636145901
19,1.6160417535,1.8103157966
20,1.619088969,1.893589871
21,1.5912783003,1.7827865024
22,1.6123718981,1.7311553807
23,1.5052066263,1.7577931599
24,1.5263759409,1.8056942508
25,1.4818476744,1.7290499053
26,1.6228432537,1.7418254983
27,1.438941489,1.6740416967
28,1.436339751,1.6125915622
29,1.4224440992,1.6096564901
30,1.4667635633,1.6504489461
31,1.4052739614,1.7217406573
32,1.408509931,1.7392700436
33,1.3427241895,1.6732931564
34,1.3792599801,1.6781951571
35,1.3957920831,1.6292166848
36,1.6500758644,1.7246526823
37,1.6180879243,1.7125344381
38,1.6497576687,1.6887961875
39,1.5786826275,1.7063737349
40,1.553943034,1.6571345371
41,1.5459105468,1.7475362425
42,1.4779256302,1.7566856364
43,1.4368392917,1.7359427537
44,1.5291107825,1.8579425779
45,1.5371888527,1.8101693448
46,1.3862670321,1.5069220378
47,1.3951973733,1.5522620933
48,1.3900115059,1.5899192319
49,1.4309512907,1.5313016655
50,1.4425059471,1.554122805
51,1.5590803332,1.7329884235
52,2.2522471314,1.8654227756
53,1.8966194619,1.7626276655
